tanggal,positif,sembuh,meninggal,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2020-08-10,127083.0,82236.0,5765.0,0.045364053413910595,0.6471046481433393,14.26470078057242
2020-08-11,128776.0,83710.0,5824.0,0.04522581847549233,0.6500434863639187,14.373282967032967
2020-08-12,130718.0,85798.0,5903.0,0.04515827965544148,0.6563594914242874,14.534643401660173
2020-08-13,132816.0,87558.0,5968.0,0.044934345259607274,0.6592428623057462,14.671246648793566
2020-08-14,135123.0,89618.0,6021.0,0.044559401434248795,0.6632327583016955,14.884238498588275
2020-08-15,137468.0,91321.0,6071.0,0.04416300520848488,0.6643073297058224,15.042167682424642
2020-08-16,139549.0,93103.0,6150.0,0.044070541530215196,0.6671706712337602,15.13869918699187
2020-08-17,141370.0,94458.0,6207.0,0.04390606210652897,0.6681615618589517,15.217979700338327
2020-08-18,143043.0,96306.0,6277.0,0.04388190963556413,0.6732660808288417,15.342679624024216
2020-08-19,144945.0,98657.0,6346.0,0.04378212425402739,0.6806512815205767,15.546328395839899
2020-08-20,147211.0,100674.0,6418.0,0.04359728552893466,0.6838755256061028,15.686195076347772
2020-08-21,149408.0,102991.0,6500.0,0.04350503319768687,0.6893272113943029,15.84476923076923
2020-08-22,151498.0,105198.0,6594.0,0.043525327067023986,0.6943854044277812,15.953594176524113
2020-08-23,153535.0,107500.0,6680.0,0.043507994919725144,0.7001660859087504,16.092814371257486
2020-08-24,155412.0,111060.0,6759.0,0.04349085012740329,0.714616631920315,16.431424766977365
2020-08-25,157859.0,112867.0,6858.0,0.04344383278748757,0.7149861585338815,16.457713619130942
2020-08-26,160165.0,115409.0,6944.0,0.043355289857334625,0.7205631692317298,16.619959677419356
2020-08-27,162884.0,118575.0,7064.0,0.04336828663343238,0.7279720537314899,16.785815402038505
2020-08-28,165887.0,120900.0,7169.0,0.04321616522090339,0.7288093702339544,16.864276747105592
2020-08-29,169195.0,122802.0,7261.0,0.04291497975708502,0.7258015898814977,16.912546481200938
2020-08-30,172053.0,124185.0,7343.0,0.04267870946743155,0.7217834039511081,16.912025057878253
2020-08-31,174796.0,125959.0,7417.0,0.04243232110574613,0.7206057346850042,16.982472697856277
2020-09-01,177571.0,128057.0,7505.0,0.04226478422715421,0.7211594235545219,17.062891405729513
2020-09-02,180646.0,129971.0,7616.0,0.04215980425805166,0.7194789809904454,17.06551995798319
2020-09-03,184268.0,132055.0,7750.0,0.04205830637983806,0.7166464063212278,17.039354838709677
2020-09-04,187537.0,134181.0,7832.0,0.04176242554802519,0.7154908098135301,17.13240551583248
2020-09-05,190665.0,136401.0,7940.0,0.041643720661893896,0.7153961136023916,17.17896725440806
2020-09-06,194109.0,138575.0,8025.0,0.041342750722532184,0.7139030132554389,17.26791277258567
2020-09-07,196989.0,140652.0,8130.0,0.041271340024062256,0.7140094116930387,17.300369003690037
2020-09-08,200035.0,142958.0,8230.0,0.04114280000999825,0.7146649336366135,17.370352369380317
2020-09-09,203342.0,145200.0,8336.0,0.040994973984715403,0.7140679249736896,17.418426103646834
2020-09-10,207203.0,147510.0,8456.0,0.04081021992924813,0.7119105418357843,17.44441816461684
2020-09-11,210940.0,150217.0,8544.0,0.04050440883663601,0.7121314117758605,17.581577715355806
2020-09-12,214746.0,152458.0,8650.0,0.040280144915388415,0.7099457032959869,17.62520231213873
2020-09-13,218382.0,155010.0,8723.0,0.03994376825928877,0.709811248179795,17.770262524360884
2020-09-14,221523.0,158405.0,8841.0,0.0399100770574613,0.7150724755443001,17.917090826829543
2020-09-15,225030.0,161065.0,8965.0,0.039839132560103095,0.7157490112429454,17.965978806469604
2020-09-16,228993.0,164101.0,9100.0,0.03973920600193019,0.7166201586948072,18.033076923076923
2020-09-17,232628.0,166686.0,9222.0,0.03964269133552281,0.7165345530202727,18.074821080026023
2020-09-18,236519.0,170774.0,9336.0,0.0394725159500928,0.7220307882242019,18.29198800342759
2020-09-19,240687.0,174350.0,9448.0,0.03925430122939751,0.7243847818951584,18.45364098221846
2020-09-20,244676.0,177327.0,9553.0,0.03904346973139989,0.7247421079304877,18.56244111797341
2020-09-21,248852.0,180797.0,9677.0,0.038886567116197576,0.7265241991223699,18.68316627053839
2020-09-22,252923.0,184298.0,9837.0,0.03889326000403285,0.7286723627349035,18.735183490901697
2020-09-23,257388.0,187958.0,9977.0,0.03876249086981522,0.7302516045814101,18.839129998997695
2020-09-24,262022.0,191853.0,10105.0,0.038565463968674385,0.7322018761783362,18.985947550717466
2020-09-25,266845.0,196196.0,10218.0,0.03829189229702636,0.7352433060390864,19.201017811704833
2020-09-26,271339.0,199403.0,10308.0,0.037989378600201226,0.7348851436763606,19.344489716724873
2020-09-27,275213.0,203014.0,10386.0,0.037738042897682886,0.7376613750077213,19.54689004429039
2020-09-28,278722.0,206870.0,10473.0,0.03757507480572039,0.7422090828854557,19.752697412393776
2020-09-29,282724.0,210437.0,10601.0,0.03749593242879982,0.7443195483934862,19.850674464673144
2020-09-30,287008.0,214947.0,10740.0,0.037420559705652806,0.7489233749581893,20.01368715083799
2020-10-01,291182.0,218487.0,10856.0,0.037282524331861175,0.7503451449608836,20.125921149594696
2020-10-02,295499.0,221340.0,10972.0,0.037130413300891035,0.7490380678107201,20.173168064163324
2020-10-03,299506.0,225052.0,11055.0,0.036910779750656084,0.7514106562138989,20.357485300768882
2020-10-04,303498.0,228453.0,11151.0,0.03674159302532471,0.752733131684558,20.487220877051385
2020-10-05,307120.0,232593.0,11253.0,0.036640401146131804,0.7573358947642616,20.669421487603305
2020-10-06,311176.0,236437.0,11374.0,0.03655166208190863,0.7598175951872895,20.787497802004573
2020-10-07,315714.0,240291.0,11472.0,0.036336684467587754,0.7611034037134875,20.94586820083682
2020-10-08,320564.0,244060.0,11580.0,0.03612383174654671,0.7613456283300682,21.075993091537132
2020-10-09,324658.0,247667.0,11677.0,0.03596707920334629,0.7628550659463189,21.20981416459707
2020-10-10,328952.0,251481.0,11765.0,0.0357650964274423,0.7644914759600184,21.375350616234595
2020-10-11,333449.0,255027.0,11844.0,0.03551967467288851,0.7648156089836826,21.532168186423505
2020-10-12,336716.0,258519.0,11935.0,0.035445301084593546,0.7677657135390061,21.660578131545872
2020-10-13,340622.0,263296.0,12027.0,0.03530893483098567,0.7729858905179349,21.8920761619689
2020-10-14,344749.0,267851.0,12156.0,0.035260435853330975,0.7769449657576962,22.03446857518921
2020-10-15,349160.0,273661.0,12268.0,0.03513575438194524,0.7837696185130026,22.306895989566353
2020-10-16,353461.0,277544.0,12347.0,0.034931718067905654,0.7852181711702281,22.478658783510163
2020-10-17,357762.0,281592.0,12431.0,0.03474656335776298,0.7870930954097975,22.6524012549272
2020-10-18,361867.0,285324.0,12511.0,0.034573475890313295,0.7884775345638039,22.8058508512509
2020-10-19,365240.0,289243.0,12617.0,0.0345444091556237,0.7919258569707589,22.924863279701988
2020-10-20,368842.0,293653.0,12734.0,0.034524267843683745,0.7961484863437461,23.0605465682425
2020-10-21,373109.0,297509.0,12857.0,0.0344590990836458,0.7973782460353409,23.13984599828887
2020-10-22,377541.0,301006.0,12959.0,0.03432474883522584,0.797280295385137,23.227563855235744
2020-10-23,381910.0,305100.0,13077.0,0.03424105155664947,0.7988793171165981,23.331039229181005
2020-10-24,385980.0,309219.0,13205.0,0.03421161718223742,0.8011270013990363,23.41681181370693
2020-10-25,389712.0,313764.0,13299.0,0.03412520014780145,0.8051176253233157,23.59305210918114
2020-10-26,392934.0,317672.0,13411.0,0.034130413759053686,0.8084614719011335,23.687420773991498
2020-10-27,396454.0,322248.0,13512.0,0.03408213815474179,0.8128256998289839,23.849023090586147
2020-10-28,400483.0,325793.0,13612.0,0.03398895833281313,0.8135001985102989,23.93424919188951
2020-10-29,404048.0,329778.0,13701.0,0.03390933750445491,0.8161852057181325,24.069629954017955
2020-10-30,406945.0,334295.0,13782.0,0.03386698448193245,0.8214746464509947,24.25591351037585
2020-10-31,410088.0,337801.0,13869.0,0.033819570433663015,0.8237280778759681,24.35655058043118
2020-11-01,412784.0,341942.0,13943.0,0.033777956509942246,0.8283799759680608,24.52427741519042
2020-11-02,415402.0,345566.0,14044.0,0.033808214693236915,0.8318833322901671,24.605952720022785
2020-11-03,418375.0,349497.0,14146.0,0.03381177173588288,0.8353677920525844,24.706418775625618
2020-11-04,421731.0,353282.0,14259.0,0.03381065181359682,0.8376951184522836,24.776071253243565
2020-11-05,425796.0,357142.0,14348.0,0.033696887711486254,0.8387631635806818,24.89141343741288
2020-11-06,429574.0,360705.0,14442.0,0.03361935312658587,0.839680706932915,24.976111341919403
2020-11-07,433836.0,364417.0,14540.0,0.0335149687900497,0.8399879217031321,25.063067400275102
2020-11-08,437716.0,368298.0,14614.0,0.03338694495974559,0.8414085845616792,25.20172437388805
2020-11-09,440569.0,372266.0,14689.0,0.03334097496646382,0.8449663957291593,25.343181972904894
2020-11-10,444348.0,375741.0,14761.0,0.033219458622521084,0.8456007453617435,25.454982724747644
2020-11-11,448118.0,378982.0,14836.0,0.03310735118874939,0.8457192078872083,25.54475599892154
2020-11-12,452291.0,382084.0,14933.0,0.033016354515124115,0.8447747136246355,25.586553271278376
2020-11-13,457735.0,385094.0,15037.0,0.03285088533758616,0.8413033742230767,25.609762585622132
2020-11-14,463007.0,388094.0,15148.0,0.032716568000051835,0.8382033101011431,25.620147874306838
2020-11-15,467113.0,391991.0,15211.0,0.0325638549986834,0.8391781003739994,25.77023206889751
2020-11-16,470648.0,395443.0,15296.0,0.032499872516190444,0.8402096683721167,25.85270658995816
2020-11-17,474455.0,398636.0,15393.0,0.03244354048329136,0.8401977005195435,25.897226011823555
2020-11-18,478720.0,402347.0,15503.0,0.03238427473262032,0.8404641544117647,25.952847835902727
2020-11-19,483518.0,406612.0,15600.0,0.03226353517345786,0.840944907945516,26.064871794871795
2020-11-20,488310.0,410552.0,15678.0,0.032106653560238375,0.8407609919927914,26.18650338053323
2020-11-21,493308.0,413955.0,15774.0,0.03197596633340631,0.8391410640005839,26.242868010650437
2020-11-22,497668.0,418188.0,15884.0,0.03191686023614136,0.840295136516714,26.327625283303952
2020-11-23,502110.0,422386.0,16002.0,0.031869510664993723,0.8412220429786302,26.395825521809773
2020-11-24,506302.0,425313.0,16111.0,0.031820929010748525,0.8400381590434167,26.398919992551672
2020-11-25,511836.0,429807.0,16225.0,0.031699606905336866,0.8397357747403466,26.490416024653314
2020-11-26,516753.0,433649.0,16352.0,0.03164374469040335,0.8391804208200049,26.51963062622309
2020-11-27,522581.0,437456.0,16521.0,0.0316142377928015,0.8371065920881164,26.47878457720477
2020-11-28,527999.0,441983.0,16646.0,0.03152657486093724,0.8370906005503799,26.551904361408145
