tanggal,meninggal,sembuh,positif,positif_aktif,meninggal harian,sembuh harian,self-isolation harian,dirawat harian,positif harian,positif aktif harian,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2022-01-15,13591,853003,870363,3769,0,276,355,89,720,444,0.015615323721251937,0.9800542991832144,62.762342726804505
2022-01-16,13591,853522,870929,3816,0,519,34,13,566,47,0.015605175622811962,0.9800132961469878,62.80052976234273
2022-01-17,13591,853987,871422,3844,0,465,-10,38,493,28,0.015596347119994676,0.9799924720743796,62.8347435803105
2022-01-18,13591,854204,872092,4297,0,217,281,172,670,453,0.015584364952321544,0.9794884025997257,62.85071002869546
2022-01-19,13591,854589,873104,4924,0,385,483,144,1012,627,0.015566301379904342,0.9787940497351977,62.87903759841071
2022-01-20,13591,855026,874259,5642,0,437,621,97,1155,718,0.01554573644652214,0.9780007983904083,62.9111912294901
2022-01-21,13591,855676,875743,6476,0,650,611,223,1484,834,0.015519393246648845,0.9770857431917811,62.95901699654183
2022-01-22,13591,856137,877568,7840,0,461,1099,265,1825,1364,0.015487118946907817,0.9755791004229871,62.992936502096974
2022-01-23,13597,856653,879307,9057,6,516,916,301,1739,1217,0.015463313723193378,0.974236529448759,63.003088916672795
2022-01-24,13597,857215,881300,10488,0,562,1200,231,1993,1431,0.015428344491092705,0.9726710541245887,63.0444215635802
2022-01-25,13606,857688,883490,12196,9,473,1229,479,2190,1708,0.015400287496179922,0.970795368368629,63.03748346317801
2022-01-26,13612,859305,886999,14082,6,1617,1375,511,3509,1886,0.01534612778593888,0.9687778678442704,63.12848956802821
2022-01-27,13615,861203,891148,16330,3,1898,1491,757,4149,2248,0.015278045846481169,0.966397276322227,63.253984575835474
2022-01-28,13617,862670,895706,19419,2,1467,2369,720,4558,3089,0.015202532973989233,0.9631173621701764,63.352427113167366
2022-01-29,13627,864447,901471,23397,10,1777,3142,836,5765,3978,0.015116404188265624,0.9589293499180783,63.436339619872314
2022-01-30,13639,866477,908093,27977,12,2030,3777,803,6622,4580,0.01501938678086936,0.9541720947083614,63.52936432289757
2022-01-31,13666,867519,913355,32170,27,1042,3732,461,5262,4193,0.014962418774737096,0.9498157890415009,63.480096590077565
2022-02-01,13678,869184,919743,36881,12,1665,3502,1209,6388,4711,0.014871545638292436,0.945029209246496,63.54613247550812
2022-02-02,13689,873212,928875,41974,11,4028,4521,572,9132,5093,0.014737182075090836,0.9400748216929081,63.78931989188399
2022-02-03,13713,877579,939192,47900,24,4367,4864,1062,10317,5926,0.014600848388827843,0.9343978653991942,63.99613505432801
2022-02-04,13738,883377,952371,55256,25,5798,5474,1882,13179,7356,0.014425050741780252,0.9275555429554239,64.30171786286213
2022-02-05,13767,891571,965145,59807,29,8194,2887,1664,12774,4551,0.014264177921452218,0.9237689673572365,64.76145856032542
2022-02-06,13794,899957,980970,67219,27,8386,5985,1427,15825,7412,0.014061592097617663,0.9174154153541902,65.24264172828767
2022-02-07,13832,905285,993652,74535,38,5328,6429,887,12682,7316,0.013920366486456023,0.9110684626005885,65.4485974551764
2022-02-08,13872,910435,1004469,80162,40,5150,3918,1709,10817,5627,0.013810281850410515,0.9063843682582539,65.63112745098039
2022-02-09,13889,923652,1018822,81281,17,13217,190,929,14353,1119,0.013632410764588907,0.9065881969568776,66.50241198070415
2022-02-10,13911,929100,1029912,86901,22,5448,4325,1295,11090,5620,0.013506979237061031,0.9021159089320253,66.78887211559197
2022-02-11,13950,945079,1040619,81590,39,15979,-5791,480,10707,-5311,0.01340548269827862,0.9081892604305707,67.74759856630824
2022-02-12,13989,960624,1053036,78423,39,15545,-2440,-727,12417,-3167,0.013284446115802309,0.9122423165019999,68.66995496461506
