tanggal,meninggal,sembuh,positif,positif_aktif,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2022-07-08,15331,1253562,1278911,10018,0.01198754252641505,0.9801792306110433,81.7664862044224
2022-07-09,15334,1254809,1280389,10246,0.011976047904191617,0.9800216965312886,81.83181166036259
2022-07-10,15338,1255908,1282064,10818,0.011963521321868486,0.979598522382658,81.88212283218151
2022-07-11,15342,1257072,1282876,10462,0.01195906697139864,0.9798858190503213,81.93664450527963
2022-07-12,15346,1257799,1284470,11325,0.011947340148076638,0.9792357937515084,81.96266127981232
2022-07-13,15350,1258663,1286491,12478,0.011931680827926507,0.978369067486675,81.99758957654723
2022-07-14,15356,1260234,1288240,12650,0.011920139104514687,0.9782602620629697,82.06785621255536
2022-07-15,15359,1261863,1289853,12631,0.011907558458211905,0.9782998527739207,82.15788788332574
2022-07-16,15364,1263230,1291984,13390,0.011891788133599177,0.9777443064310394,82.22012496745639
2022-07-17,15367,1264902,1293986,13717,0.01187570808339503,0.9775237135486783,82.31287824559121
2022-07-18,15369,1266257,1295850,14224,0.011860169001041787,0.9771632519195894,82.39033118615394
2022-07-19,15371,1267430,1298335,15534,0.011839009192542757,0.9761964362048315,82.45592349229068
2022-07-20,15373,1268249,1301285,17663,0.011813707220170831,0.9746127865917151,82.49847134586612
2022-07-21,15377,1270067,1304168,18724,0.011790658872169842,0.9738522951030849,82.5952396436236
2022-07-22,15383,1271839,1306633,19411,0.011773007416772728,0.9733712526776838,82.67821621270234
2022-07-23,15384,1273936,1309294,19974,0.011749843808953527,0.9729946062534465,82.80915236609465
2022-07-24,15384,1275596,1311445,20465,0.011730572002638311,0.9726645036581786,82.91705668226729
2022-07-25,15386,1277873,1313613,20354,0.011712734268007396,0.9727925956883801,83.05427011568959
2022-07-26,15389,1279485,1316587,21713,0.011688555332841659,0.9718195607278516,83.1428292936513
2022-07-27,15390,1281386,1319866,23090,0.011660274603634006,0.970845525227561,83.26094866796622
2022-07-28,15392,1284419,1323023,23212,0.011633962523705181,0.970821368940676,83.44718035343035
2022-07-29,15395,1286877,1326010,23738,0.011610018023996803,0.9704881561979171,83.59058135758363
2022-07-30,15400,1289636,1328639,23603,0.011590808338457624,0.9706443962581258,83.7425974025974
2022-07-31,15402,1292113,1330837,23322,0.0115731678635325,0.9709025222472775,83.89254642254252
2022-08-01,15404,1294595,1332323,22324,0.01156176092434042,0.9716825424465388,84.04278109581927
